step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy,train_mean_reward,full_validation_mean_reward
822,1.19703,0.7,,,,
823,1.79118,0.54485,,,,
824,1.71163,0.55897,,,,
825,2.04196,0.46739,,,,
826,1.62278,0.56835,,,,
827,1.33558,0.64189,,,,
828,1.15336,0.70455,,,,
829,1.25613,0.61765,,,,
830,1.26908,0.62602,2.25105,0.51,,
831,1.36688,0.63725,,,,
832,1.4025,0.61644,,,,
833,0.91237,0.71654,,,,
834,2.57981,0.41892,,,,
835,1.99587,0.51362,,,,
836,1.7661,0.54296,,,,
837,1.42314,0.61818,,,,
838,1.77153,0.52527,,,,
839,1.81682,0.53012,,,,
840,1.09344,0.67949,3.47084,0.34228,,
841,2.33721,0.48016,,,,
842,1.65062,0.54438,,,,
843,1.64263,0.5419,,,,
844,0.71463,0.79747,,,,
845,0.71452,0.81013,,,,
846,1.98673,0.475,,,,
847,1.43304,0.61538,,,,
848,1.35733,0.5907,,,,
849,0.35479,0.94737,,,,
850,1.50988,0.57432,2.37478,0.43455,,
851,1.37249,0.61635,,,,
852,2.16752,0.46108,,,,
853,1.98659,0.51176,,,,
854,1.12913,0.68493,,,,
855,1.44977,0.60952,,,,
856,2.07025,0.46622,,,,
857,1.34065,0.61714,,,,
858,1.02808,0.69811,,,,
859,1.50887,0.5813,,,,
860,1.77207,0.55102,2.79624,0.36471,,
861,1.72273,0.59259,,,,
862,2.08233,0.47222,,,,
863,1.68648,0.57432,,,,
864,2.01914,0.45045,,,,
865,1.64606,0.58378,,,,
866,1.57635,0.51724,,,,
867,1.84178,0.54769,,,,
868,1.62841,0.61066,,,,
869,2.09559,0.49378,,,,
870,1.67947,0.58049,3.09212,0.34932,,
871,1.83345,0.53659,,,,
872,1.59718,0.56,,,,
873,1.47574,0.59048,,,,
874,1.55699,0.58088,,,,
875,1.80401,0.50521,,,,
876,1.43546,0.58491,,,,
877,1.44268,0.62948,,,,
878,2.09875,0.46602,,,,
879,1.9819,0.53425,,,,
880,1.26682,0.63436,2.4189,0.45378,,
881,1.81639,0.59574,,,,
882,1.82665,0.54626,,,,
883,1.22444,0.62791,,,,
884,1.58627,0.57862,,,,
885,1.34203,0.61823,,,,
886,1.45538,0.61739,,,,
887,1.14147,0.62264,,,,
888,1.57602,0.57488,2.32091,0.53448,,
